Index,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10
25,2.40872889415698E-02,1.43802055606064E-02,1.50620022835841E-02,1.38766983045029E-02,1.88026860092894E-05,1.45932679527483E-02,9.07146015160931E-03,7.24335049576852E-03,2.10120813954392E-02,1.20470441731484E-03
26,1.28134408945948E-02,7.63307322424844E-03,2.6733902918689E-02,1.16875195518673E-02,2.32087966179655E-02,1.11724502215713E-02,8.2056355284732E-03,1.2807229281802E-02,1.36237884722989E-03,-1.6950659293095E-03
27,9.56187944957776E-03,1.5793468181766E-02,1.80038871593347E-02,1.47418813322404E-02,1.88116541627805E-02,1.10354790290088E-02,1.44283115484825E-02,1.16741851241369E-02,2.90923266056029E-03,-1.0962748723596E-02
28,3.87409621403378E-03,1.66803444023917E-02,2.15539100584443E-02,1.37196677356739E-02,1.64369818112091E-02,1.75801093977683E-02,2.04472112825591E-02,1.63933357802435E-02,2.45674086031741E-02,8.91353471713214E-03
29,2.39023212636997E-02,9.28487991076232E-03,1.53911246763367E-02,1.358820525062E-02,8.92489541335095E-03,1.86146340775459E-02,8.09811542493466E-03,7.18477747245805E-03,2.3568447672585E-02,7.4056752306319E-03
30,1.92055447107189E-02,4.87800369777758E-03,2.09522852430515E-02,1.26309569982284E-02,1.34795365729701E-02,2.07001784088214E-02,1.03319968559308E-02,2.02642154435706E-02,-1.05767641243099E-03,-1.59110755970187E-03
31,1.07532130316015E-02,8.41384999764849E-03,2.21528602341767E-02,1.56346177787943E-02,1.83004177801034E-02,2.74949979641277E-02,1.46824504842609E-02,1.03724671559486E-02,2.39417792923094E-02,7.51867712469937E-03
32,2.14705732059868E-02,9.70179841374708E-03,1.46920440044878E-02,1.41297186504639E-02,1.76336278962534E-02,1.13508466140311E-02,8.88365806158231E-03,6.44932777609752E-03,2.26699682781584E-02,5.88058773703975E-03
33,1.67777646388438E-02,1.72974458365411E-02,1.15827680247149E-02,1.97677241498904E-02,1.86034299076709E-10,1.17448555684283E-02,1.50332496168732E-02,2.10622195568204E-02,4.56391402637718E-02,-4.25952230671952E-03
34,7.04034793317709E-03,1.797980198298E-02,2.4225897064921E-02,1.15900248290739E-02,1.08220416690827E-02,9.85918876929071E-03,1.18264622618682E-02,2.03996292642363E-02,1.39457530645062E-02,-1.07484142402213E-02
35,1.17802188588998E-02,2.47085541451764E-02,9.17068566350787E-03,1.77851319228848E-02,3.71290971517002E-03,1.1013264183227E-02,1.26322273772281E-02,1.24079532918413E-02,1.24879570990848E-02,-4.80561431122665E-03
36,1.46561643682326E-02,1.27432927893532E-02,1.59380489542222E-02,1.3009022917533E-02,2.37001577769524E-02,1.08469599791698E-02,8.5714022827188E-03,6.7204974212618E-03,8.0189537085108E-03,-1.2703019957474E-03
37,1.21083090986474E-02,1.52647795499432E-02,1.67217329158518E-02,1.42393185498986E-02,1.6337732576073E-02,1.39877484290505E-02,1.09434686998364E-02,1.12663193791844E-02,2.64766117554153E-02,-2.92485988543018E-04
38,1.40047596666577E-02,2.29026245195911E-02,1.38194900591353E-02,1.38576954055525E-02,4.19326817713284E-09,1.20434573556438E-02,1.12738084932564E-02,1.35962525355746E-02,1.90478836846605E-02,4.10050971420449E-03
39,2.35521043719922E-02,1.11740920813905E-02,1.77367574913276E-02,1.50557155670443E-02,1.1774983618229E-03,1.60277492851193E-02,7.5438469065745E-03,1.11031440592735E-02,2.40392165371981E-02,1.9469101845416E-03
40,1.45031983305746E-02,1.45589223044318E-02,2.23682769236531E-02,1.2215984472179E-02,5.55437962290739E-09,1.87431890247658E-02,6.56773332775495E-03,2.4404488328003E-02,3.54003933686263E-02,2.45859831617368E-02
41,1.65212096274037E-02,2.25135415487228E-02,1.18493476731143E-02,1.45940524391241E-02,5.35926047984248E-08,7.8862397593471E-03,9.31977384707583E-03,1.48093024547884E-02,1.48288893709706E-02,-9.97409128846534E-03
